Death rates (period 5x5), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      2010-2014    105-109           0.667700        0.766131        0.679588
AUS      2010-2014    110+              1.610068              .        1.610068
AUS      2015-2019        0             0.002868        0.003492        0.003189
AUS      2015-2019      1-4             0.000131        0.000162        0.000147
AUS      2015-2019      5-9             0.000062        0.000081        0.000071
AUS      2015-2019     10-14            0.000077        0.000105        0.000091
AUS      2015-2019     15-19            0.000202        0.000406        0.000306
AUS      2015-2019     20-24            0.000226        0.000606        0.000420
AUS      2015-2019     25-29            0.000272        0.000669        0.000471
AUS      2015-2019     30-34            0.000379        0.000830        0.000603
AUS      2015-2019     35-39            0.000594        0.001123        0.000857
AUS      2015-2019     40-44            0.000906        0.001568        0.001235
AUS      2015-2019     45-49            0.001348        0.002290        0.001811
AUS      2015-2019     50-54            0.002050        0.003309        0.002670
AUS      2015-2019     55-59            0.003014        0.005033        0.004005
AUS      2015-2019     60-64            0.004471        0.007692        0.006042
AUS      2015-2019     65-69            0.006921        0.011531        0.009182
AUS      2015-2019     70-74            0.011691        0.018665        0.015108
AUS      2015-2019     75-79            0.021257        0.032234        0.026479
