Death rates (cohort 5x5), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      1940-1944     30-34            0.000783        0.001436        0.001120
AUS      1940-1944     35-39            0.000977        0.001733        0.001364
AUS      1940-1944     40-44            0.001343        0.002307        0.001837
AUS      1940-1944     45-49            0.001985        0.003200        0.002609
AUS      1940-1944     50-54            0.002855        0.004625        0.003759
AUS      1940-1944     55-59            0.003955        0.006474        0.005236
AUS      1940-1944     60-64            0.005516        0.009291        0.007414
AUS      1940-1944     65-69            0.007796        0.013300        0.010529
AUS      1940-1944     70-74            0.012314        0.019717        0.015941
AUS      1940-1944     75-79            0.019337        0.029508        0.024219
AUS      1940-1944     80-84                   .               .               .
AUS      1940-1944     85-89                   .               .               .
AUS      1940-1944     90-94                   .               .               .
AUS      1940-1944     95-99                   .               .               .
AUS      1940-1944    100-104                  .               .               .
AUS      1940-1944    105-109                  .               .               .
AUS      1940-1944    110+                     .               .               .
AUS      1945-1949        0             0.024967        0.031849        0.028493
AUS      1945-1949      1-4             0.001452        0.001816        0.001638
AUS      1945-1949      5-9             0.000475        0.000648        0.000564
AUS      1945-1949     10-14            0.000321        0.000516        0.000421
AUS      1945-1949     15-19            0.000542        0.001347        0.000955
AUS      1945-1949     20-24            0.000583        0.001759        0.001184
AUS      1945-1949     25-29            0.000547        0.001288        0.000926
AUS      1945-1949     30-34            0.000626        0.001273        0.000956
AUS      1945-1949     35-39            0.000830        0.001442        0.001141
AUS      1945-1949     40-44            0.001172        0.002020        0.001604
AUS      1945-1949     45-49            0.001731        0.002779        0.002263
AUS      1945-1949     50-54            0.002488        0.003894        0.003199
AUS      1945-1949     55-59            0.003363        0.005611        0.004494
AUS      1945-1949     60-64            0.004933        0.008132        0.006533
AUS      1945-1949     65-69            0.007229        0.011987        0.009588
AUS      1945-1949     70-74            0.010736        0.017289        0.013943
AUS      1945-1949     75-79                   .               .               .
AUS      1945-1949     80-84                   .               .               .
AUS      1945-1949     85-89                   .               .               .
AUS      1945-1949     90-94                   .               .               .
AUS      1945-1949     95-99                   .               .               .
AUS      1945-1949    100-104                  .               .               .
AUS      1945-1949    105-109                  .               .               .
AUS      1945-1949    110+                     .               .               .
AUS      1950-1954        0             0.021167        0.026869        0.024081
AUS      1950-1954      1-4             0.001329        0.001600        0.001467
AUS      1950-1954      5-9             0.000382        0.000554        0.000470
AUS      1950-1954     10-14            0.000276        0.000494        0.000388
AUS      1950-1954     15-19            0.000579        0.001486        0.001041
AUS      1950-1954     20-24            0.000521        0.001737        0.001136
AUS      1950-1954     25-29            0.000494        0.001362        0.000932
AUS      1950-1954     30-34            0.000576        0.001297        0.000938
AUS      1950-1954     35-39            0.000758        0.001528        0.001144
AUS      1950-1954     40-44            0.001099        0.001933        0.001516
AUS      1950-1954     45-49            0.001585        0.002548        0.002065
AUS      1950-1954     50-54            0.002207        0.003576        0.002888
AUS      1950-1954     55-59            0.003150        0.005238        0.004185
AUS      1950-1954     60-64            0.004560        0.007760        0.006131
AUS      1950-1954     65-69            0.006329        0.010757        0.008480
AUS      1950-1954     70-74                   .               .               .
